Factor,Main Effect (GA),Main Effect % of Avg (GA),Main Effect (DR),Main Effect % of Avg (DR)
mu,263242719.58006442,28.88803620355367,261920133.05663443,27.332332384217665
sigma,18109997.575778723,1.9873760096762974,27943201.893804073,2.9159762295768563
L,5724930.21307385,0.6282490604941315,8996803.586768866,0.9388496529814953
k,-3334795.24404037,-0.365957645077347,-1855815.6036810875,-0.19366120630620307
T0,-25028333.35655558,-2.746588400515607,-26943755.47271633,-2.8116803075238535
Average ENPV,911251695.0795068,100.0,958279481.512062,100.0
